a,价格,涨幅,代码,1上0深,名称,上市日期,b,纯债价值,昨日收盘价,股价,股票涨幅,c,股票代码,上深,股票,转股价,转股价值,转股溢价率,纯债溢价率,回售触发价,强赎触发价,到期赎回价,转股日,申购日期,差
3,119.77,1.4,113631,1,皖天转债,20211210,2,94.938,7.98,7.81,-2.13,2,603689,1,皖天然气,7.81,100.0,19.77,26.16,5.47,10.15,110.0,20220512,20211108,3.53
3,145.316,1.26,128078,0,太极转债,20191108,2,105.2032,28.3,27.61,-2.44,2,002368,0,太极股份,22.02,125.386,15.89,38.13,15.41,28.63,112.0,20200427,20191021,3.7
3,194.468,7.0,113025,1,明泰转债,20190507,2,105.4758,13.39,13.82,3.21,2,601677,1,明泰铝业,7.66,180.4178,7.79,84.37,5.36,9.96,110.0,20191016,20190410,3.79
3,268.25,2.48,123060,0,苏试转债,20200817,2,102.5894,34.36,33.79,-1.66,2,300416,0,苏试试验,14.54,232.3934,15.43,161.48,10.18,18.9,112.0,20210127,20200721,4.14
3,179.014,8.17,127064,0,杭氧转债,20220705,2,90.9052,41.21,42.86,4.0,2,002430,0,杭氧股份,28.69,149.39,19.83,96.92,20.08,37.3,108.0,20221125,20220519,4.17
3,148.476,6.09,111007,1,永和转债,20221101,2,95.4689,41.0,41.71,1.73,2,605020,1,永和股份,33.64,123.9893,19.83,55.63,23.55,43.73,115.0,20230417,20221011,4.36
3,334.938,14.58,113016,1,小康转债,20171121,2,105.2483,47.36,52.1,10.01,2,601127,1,赛力斯,20.17,258.3044,29.67,218.24,14.12,26.22,106.0,20180511,20171106,4.57
3,125.731,25.73,118021,1,N新致转,20221102,2,94.0617,10.68,10.64,-0.37,2,688590,1,新致软件,10.7,99.4393,26.44,33.67,7.49,13.91,112.0,20230410,20220927,26.1
3,-,,123166,0,蒙泰转债,-,2,-,26.86,25.9,-3.57,2,300876,0,蒙泰高新,26.15,99.044,0.97,0.0,18.31,34.0,115.0,20230508,20221102,
3,-,,113063,1,赛轮转债,-,2,-,8.72,9.21,5.62,2,601058,1,赛轮轮胎,9.04,101.8805,-1.85,0.0,6.33,11.75,110.0,20230508,20221102,
3,-,,111008,1,沿浦转债,-,2,-,48.97,53.87,10.01,2,605128,1,上海沿浦,47.11,114.3494,-12.55,0.0,32.98,61.24,113.0,20230508,20221102,
3,-,,123165,0,回天转债,-,2,95.2931,16.15,16.5,2.17,2,300041,0,回天新材,20.21,81.6428,22.48,4.94,14.15,26.27,115.0,20230502,20221027,
3,-,,127076,0,中宠转2,-,2,92.2276,20.57,21.68,5.4,2,002891,0,中宠股份,28.35,76.4727,30.77,8.43,19.85,36.86,112.0,20230501,20221025,
3,-,,118026,1,利元转债,-,2,90.5663,187.5,193.0,2.93,2,688499,1,利元亨,218.94,88.152,13.44,10.42,153.26,284.62,110.0,20230428,20221024,
3,-,,118025,1,奕瑞转债,-,2,90.8431,505.66,502.5,-0.62,2,688301,1,奕瑞科技,499.89,100.5221,-0.52,10.08,349.92,649.86,110.0,20230428,20221024,
3,-,,118024,1,冠宇转债,-,2,92.7946,20.6,21.96,6.6,2,688772,1,珠海冠宇,23.68,92.7365,7.83,7.76,16.58,28.42,112.0,20230428,20221024,
3,-,,123164,0,法本转债,-,2,96.4075,11.74,11.75,0.09,2,300925,0,法本信息,11.12,105.6655,-5.36,3.73,7.78,14.46,115.0,20230427,20221021,
3,-,,127075,0,百川转2,-,2,96.0553,10.54,10.53,-0.09,2,002455,0,百川股份,10.36,101.6409,-1.61,4.11,7.25,13.47,115.0,20230425,20221019,
3,-,,123163,0,金沃转债,-,2,96.6689,22.97,23.41,1.92,2,300984,0,金沃股份,27.28,85.8138,16.53,3.45,19.1,35.46,115.0,20230420,20221014,
3,-,,123162,0,东杰转债,20221104,2,96.6689,8.88,9.05,1.91,2,300486,0,东杰智能,8.06,112.2829,-10.94,3.45,5.64,10.48,115.0,20230420,20221014,
3,-,,113659,1,莱克转债,-,2,91.3224,32.29,32.88,1.83,2,603355,1,莱克电气,34.17,96.2248,3.92,9.5,23.92,44.42,110.0,20230420,20221014,
3,-,,127074,0,麦米转2,-,2,95.4469,26.22,28.0,6.79,2,002851,0,麦格米特,30.99,90.3517,10.68,4.77,21.69,40.29,115.0,20230419,20221013,
3,-,,118023,1,广大转债,-,2,95.2812,32.52,32.12,-1.23,2,688186,1,广大特材,33.12,96.9807,3.11,4.95,23.18,43.06,115.0,20230419,20221013,
3,-,,118022,1,锂科转债,-,2,91.3539,15.7,15.88,1.15,2,688779,1,长远锂科,15.76,100.7614,-0.76,9.46,11.03,20.49,110.0,20230417,20221011,
3,-,,118020,1,芳源转债,-,2,102.2185,14.87,15.64,5.18,2,688148,1,芳源股份,18.62,83.9957,19.05,-2.17,13.03,24.21,120.0,20230329,20220923,
3,-,,127072,0,博实转债,20221103,2,93.1382,15.83,15.9,0.44,2,002698,0,博实股份,15.81,100.5693,-0.57,7.37,11.07,20.55,112.0,20230328,20220922,
3,-,,123029,0,英科转债,20190910,2,123.9169,21.78,24.42,12.12,2,300677,0,英科医疗,4.0,610.5,125.49,1010.91,2.8,5.2,128.0,20200224,20190816,
3,-,,128046,0,利尔转债,20181109,2,103.7611,18.77,18.89,0.64,2,002258,0,利尔化学,12.8,147.5781,-4.12,36.37,8.96,16.64,108.0,20190423,20181017,
3,-,,110808,1,动力定02,-,2,96.5125,-,-,,0,-,-1,-,-,81.9631,35.0,14.65,-,-,-,20210309,-,
3,-,,110807,1,动力定01,-,2,100.9768,-,-,,0,-,-1,-,-,81.9631,22.01,-0.97,-,-,-,20210513,-,
3,-,,110801,1,继峰定01,-,2,102.2992,-,-,,0,-,-1,-,-,184.6047,0.0,0.0,-,-,-,20210205,-,
